Date,Asset,Asset_Class,Invested_Amount,Current_Value,Returns_Pct,Gain_Loss
2023-01-01,Nifty50 Index Fund,Equity,5000,5436,8.73,436
2023-01-01,Gold ETF,Equity,2000,2205,10.23,205
2023-01-01,Fixed Deposit,Debt,10000,10041,0.41,41
2023-01-01,PPF,Debt,3000,2906,-3.13,-94
2023-01-01,US Tech Fund,Equity,4000,3955,-1.13,-45
2023-01-01,Real Estate Fund,Equity,8000,8181,2.26,181
2023-01-01,Liquid Fund,Equity,2000,2178,8.91,178
2023-01-01,Small Cap Fund,Equity,3000,3289,9.63,289
2023-02-01,Nifty50 Index Fund,Equity,5000,4756,-4.88,-244
2023-02-01,Gold ETF,Equity,2000,2074,3.68,74
2023-02-01,Fixed Deposit,Debt,10000,10210,2.1,210
2023-02-01,PPF,Debt,3000,2963,-1.22,-37
2023-02-01,US Tech Fund,Equity,4000,3882,-2.96,-118
2023-02-01,Real Estate Fund,Equity,8000,8059,0.74,59
2023-02-01,Liquid Fund,Equity,2000,2221,11.03,221
2023-02-01,Small Cap Fund,Equity,3000,3015,0.49,15
2023-03-01,Nifty50 Index Fund,Equity,5000,5191,3.82,191
2023-03-01,Gold ETF,Equity,2000,2139,6.95,139
2023-03-01,Fixed Deposit,Debt,10000,10118,1.18,118
2023-03-01,PPF,Debt,3000,3346,11.52,346
2023-03-01,US Tech Fund,Equity,4000,4454,11.36,454
2023-03-01,Real Estate Fund,Equity,8000,7942,-0.72,-58
2023-03-01,Liquid Fund,Equity,2000,2069,3.45,69
2023-03-01,Small Cap Fund,Equity,3000,3003,0.11,3
2023-04-01,Nifty50 Index Fund,Equity,5000,4992,-0.16,-8
2023-04-01,Gold ETF,Equity,2000,1913,-4.37,-87
2023-04-01,Fixed Deposit,Debt,10000,10536,5.36,536
2023-04-01,PPF,Debt,3000,3106,3.55,106
2023-04-01,US Tech Fund,Equity,4000,3835,-4.12,-165
2023-04-01,Real Estate Fund,Equity,8000,7979,-0.26,-21
2023-04-01,Liquid Fund,Equity,2000,2209,10.44,209
2023-04-01,Small Cap Fund,Equity,3000,2972,-0.93,-28
2023-05-01,Nifty50 Index Fund,Equity,5000,4873,-2.54,-127
2023-05-01,Gold ETF,Equity,2000,2066,3.32,66
2023-05-01,Fixed Deposit,Debt,10000,11176,11.76,1176
2023-05-01,PPF,Debt,3000,2973,-0.89,-27
2023-05-01,US Tech Fund,Equity,4000,4257,6.43,257
2023-05-01,Real Estate Fund,Equity,8000,8636,7.95,636
2023-05-01,Liquid Fund,Equity,2000,1981,-0.96,-19
2023-05-01,Small Cap Fund,Equity,3000,3221,7.38,221
2023-06-01,Nifty50 Index Fund,Equity,5000,5063,1.25,63
2023-06-01,Gold ETF,Equity,2000,2115,5.75,115
2023-06-01,Fixed Deposit,Debt,10000,10577,5.77,577
2023-06-01,PPF,Debt,3000,3123,4.11,123
2023-06-01,US Tech Fund,Equity,4000,3861,-3.47,-139
2023-06-01,Real Estate Fund,Equity,8000,8736,9.2,736
2023-06-01,Liquid Fund,Equity,2000,2009,0.45,9
2023-06-01,Small Cap Fund,Equity,3000,2945,-1.83,-55
